id,sung,infdir,cat,baby,adult,score,rt,rt_correct,pers
BEJ22A,1,1,id song,.87323946,.12676056,.87323946,3.529629,3.529629,BEJ22
BEJ22B,0,1,id speech,.75590551,.24409449,.75590551,4.8099999,4.8099999,BEJ22
BEJ23C,1,0,ad song,.69230771,.30769232,.30769232,3.5366774,3.5366774,BEJ23
BEJ23D,0,0,ad speech,.096491225,.90350878,.90350878,3.6693799,3.6693799,BEJ23
BEJ23A,1,1,id song,.83766234,.16233766,.83766234,3.0092125,3.0092125,BEJ23
BEJ24C,1,0,ad song,.64102566,.35897437,.35897437,3.8048718,3.8048718,BEJ24
BEJ24D,0,0,ad speech,.093457945,.90654206,.90654206,3.3324316,3.3324316,BEJ24
BEJ24A,1,1,id song,.72857141,.27142859,.72857141,3.5063801,3.5063801,BEJ24
BEJ24B,0,1,id speech,.39568347,.60431653,.39568347,4.8713889,4.8713889,BEJ24
BEJ25C,1,0,ad song,.63793105,.36206895,.36206895,3.6539524,3.6539524,BEJ25
BEJ25D,0,0,ad speech,.27966103,.720339,.720339,4.128253,4.128253,BEJ25
BEJ25A,1,1,id song,.72661871,.27338129,.72661871,3.34413,3.34413,BEJ25
BEJ26C,1,0,ad song,.76612902,.23387097,.23387097,4.11375,4.11375,BEJ26
BEJ26D,0,0,ad speech,.25225225,.74774772,.74774772,4.0743461,4.0743461,BEJ26
BEJ26A,1,1,id song,.80000001,.2,.80000001,4.3010368,4.3010368,BEJ26
BEJ26B,0,1,id speech,.63698632,.36301368,.63698632,3.3256667,3.3256667,BEJ26
BEJ27C,1,0,ad song,.90434784,.09565217,.09565217,3.9409001,3.9409001,BEJ27
BEJ27D,0,0,ad speech,.083333336,.91666669,.91666669,3.8170459,3.8170459,BEJ27
BEJ27A,1,1,id song,.92000002,.079999998,.92000002,3.3208675,3.3208675,BEJ27
BEJ28C,1,0,ad song,.80303031,.1969697,.1969697,3.9622693,3.9622693,BEJ28
BEJ28D,0,0,ad speech,.40000001,.60000002,.60000002,3.8726289,3.8726289,BEJ28
BEJ28A,1,1,id song,.78703701,.21296297,.78703701,3.6987951,3.6987951,BEJ28
BEJ29C,1,0,ad song,.81203008,.18796992,.18796992,3.6840832,3.6840832,BEJ29
BEJ29A,1,1,id song,.67199999,.32800001,.67199999,3.8945925,3.8945925,BEJ29
BEJ30C,1,0,ad song,.77272725,.22727273,.22727273,3.5522308,3.5522308,BEJ30
